DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200104051,2020-01-01,2020-01-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),22,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,600 N BROADWAY,34.05,-118.26
200104054,2020-02-01,2020-01-01,Central,624,BATTERY - SIMPLE ASSAULT,28,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,800 W 7TH ST,34.05,-118.25
200104057,2020-02-01,2020-01-01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,STREET,IC,7TH ST,34.04,-118.25
200104058,2020-02-01,2020-01-01,Central,624,BATTERY - SIMPLE ASSAULT,46,M,SIDEWALK,IC,23400 PRESIDENT AV,34.05,-118.24
200104060,2020-02-01,2020-01-01,Central,624,BATTERY - SIMPLE ASSAULT,56,F,STREET,IC,700 W 7TH ST,34.05,-118.25
200104063,2020-01-01,2020-01-01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,PARKING LOT,IC,13100 LAKE ST,34.05,-118.26
200104065,2020-01-01,2020-01-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,100 W 1ST ST,34.06,-118.23
200104066,2020-01-01,2020-01-01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,"VEHICLE, PASSENGER/TRUCK",IC,3RD,34.04,-118.26
200104069,2020-02-01,2020-02-01,Central,310,BURGLARY,0,X,RESTAURANT/FAST FOOD,IC,6TH,34.06,-118.24
200104073,2020-02-01,2020-02-01,Central,510,VEHICLE - STOLEN,0,X,PARKING LOT,IC,1ST,34.05,-118.25
200104075,2020-02-01,2020-01-01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),67,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,1600 S HOPE ST,34.04,-118.25
